w1	w2	l2
20491	264468	284959
20491	532756	553247
20491	788500	808991
20491	794644	815135
20491	1114388	1134879
20491	139540	160031
20491	17432596	17453087
20491	16910356	16930847
20491	786708	807199
20491	1835028	1855519
20491	17303572	17324063
20491	262324	282815
20491	131476	151967
20491	1428	21919
20491	34964	55455
20491	8404	28895
20491	655508	675999
20491	786580	807071
20491	18874516	18895007
20491	4456596	4477087
20491	20971668	20992159
20491	436	20927
20491	2452	22943
20491	8596	29087
20491	8644	29135
20491	9604	30095
20491	270724	291215
20491	532868	553359
20491	295300	315791
20491	132484	152975
20491	133508	153999
20491	164228	184719
20491	655748	676239
20491	1180036	1200527
20491	786820	807311
20491	2097556	2118047
20491	6291844	6312335
20491	18874756	18895247
20491	393604	414095
20491	1573012	1593503
20491	1310916	1331407
20491	1049236	1069727
20491	1056964	1077455
20491	1057924	1078415
20491	1181828	1202319
20491	1187972	1208463
20491	1310868	1331359
20491	16779412	16799903
20491	10516	31007
20491	270612	291103
20491	393492	413983
20491	655636	676127
20491	2621716	2642207
20491	264244	284735
20491	526388	546879
20491	559124	579615
20491	134164	154655
20491	1051668	1072159
20491	4458516	4479007
20491	526628	547119
20491	10564	31055
20491	11524	32015
20491	534788	555279
20491	297220	317711
20491	559364	579855
20491	526612	547103
20491	2099476	2119967
20491	1312788	1333279
20491	1058884	1079375
20491	1059844	1080335
20491	16812052	16832543
20491	688148	708639
20491	16941076	16961567
20491	917524	938015
20491	4587540	4608031
20491	16908564	16929055
20491	133396	153887
20491	140548	161039
20491	426244	446735
20491	1181716	1202207
20491	1703956	1724447
20491	1188868	1209359
20491	1712132	1732623
20491	1441812	1462303
20491	1441924	1462415
20491	1966084	1986575
20491	1704068	1724559
20491	4849796	4870287
20491	17465348	17485839
20491	17694724	17715215
20491	1311012	1331503
20491	1057092	1077583
20491	1311108	1331599
20491	1311764	1332255
20491	1574932	1595423
20491	9439252	9459743
20491	1575172	1595663
20491	1837060	1857551
20491	1057044	1077535
20491	1581316	1601807
20491	1843204	1863695
20491	17834004	17854495
20491	1083412	1103903
20491	1441828	1462319
20491	1179924	1200415
20491	1188100	1208591
20491	1443844	1464335
20491	17958916	17979407
20491	1449988	1470479
20491	3276820	3297311
20491	20054020	20074511
20491	18088068	18108559
20491	1310996	1331487
20491	18350100	18370591
20491	1573140	1593631
20491	1835268	1855759
20491	25168132	25188623
20491	16910596	16931087
20491	18219012	18239503
20491	262548	283039
20491	17334352	17354843
20491	524752	545243
20491	9552	30043
20491	2356	22847
20491	10544	31035
20491	1051024	1071515
20491	272656	293147
20491	2361616	2382107
20491	1089556	1110047
20491	1712144	1732635
20491	17048592	17069083
20491	17440784	17461275
20491	295188	315679
20491	16811280	16831771
20491	819472	839963
20491	426256	446747
20491	1147152	1167643
20491	3211536	3232027
20491	132372	152863
20491	925712	946203
20491	1736720	1757211
20491	2230544	2251035
20491	4333840	4354331
20491	17170452	17190943
20491	270736	291227
20491	524692	545183
20491	17303696	17324187
20491	1835280	1855771
20491	4202832	4223323
20491	9568276	9588767
20491	8397136	8417627
20491	9175312	9195803
20491	8947728	8968219
20491	29392912	29413403
20491	9963536	9984027
20491	10223632	10244123
20491	17301712	17322203
20491	16785744	16806235
20491	524596	545087
20491	263220	283711
20491	8560	29051
20491	532784	553275
20491	786736	807227
20491	264496	284987
20491	8390960	8411451
20491	788528	809019
20491	17303600	17324091
20491	1083440	1103931
20491	271408	291899
20491	16910384	16930875
20491	401456	421947
20491	16916528	16937019
20491	655536	676027
20491	17563696	17584187
20491	524468	544959
20491	1835056	1855547
20491	262452	282943
20491	1048996	1069487
20491	16908592	16929083
20491	524768	545259
20491	16778544	16799035
20491	2468	22959
20491	133424	153915
20491	526640	547131
20491	526752	547243
20491	8612	29103
20491	139568	160059
20491	270640	291131
20491	4202800	4223291
20491	1057120	1077611
20491	271648	292139
20491	1114416	1134907
20491	393520	414011
20491	401696	422187
20491	917792	938283
20491	655776	676267
20491	17039776	17060267
20491	17563936	17584427
20491	524708	545199
20491	17303840	17324331
20491	2228528	2249019
20491	2359600	2380091
20491	8519984	8540475
20491	8651056	8671547
20491	9470240	9490731
20491	2228	22719
20491	3124	23615
20491	264368	284859
20491	1181744	1202235
20491	4458544	4479035
20491	17041456	17061947
20491	3364	23855
20491	264484	284975
20491	10592	31083
20491	534816	555307
20491	35120	55611
20491	297248	317739
20491	657696	678187
20491	265504	285995
20491	788768	809259
20491	1312816	1333307
20491	17827888	17848379
20491	1051696	1072187
20491	17828896	17849387
20491	1058912	1079403
20491	1059872	1080363
20491	1189920	1210411
20491	1706016	1726507
20491	1312928	1333419
20491	1313824	1334315
20491	1574960	1595451
20491	18352160	18372651
20491	16812080	16832571
20491	132148	152639
20491	655664	676155
20491	393392	413883
20491	917552	938043
20491	393568	414059
20491	132400	152891
20491	394528	415019
20491	34210080	34230571
20491	33685808	33706299
20491	1441888	1462379
20491	1704224	1724715
20491	1441952	1462443
20491	1966112	1986603
20491	1311780	1332271
20491	1048944	1069435
20491	1573216	1593707
20491	1050736	1071227
20491	1311520	1332011
20491	1575072	1595563
20491	35129376	35149867
20491	1056880	1077371
20491	1057060	1077551
20491	1319200	1339691
20491	1057328	1077819
20491	1319968	1340459
20491	17835040	17855531
20491	1059104	1079595
20491	1181984	1202475
20491	1443872	1464363
20491	17958944	17979435
20491	34734128	34754619
20491	51511328	51531819
20491	1835168	1855659
20491	1313056	1333547
20491	18612256	18632747
20491	34865200	34885691
20491	34605344	34625835
20491	17039412	17059903
20491	17040432	17060923
20491	263252	283743
20491	786768	807259
20491	788560	809051
20491	8532	29023
20491	41296	61787
20491	532816	553307
20491	794704	815195
20491	17309776	17330267
20491	1318992	1339483
20491	17047632	17068123
20491	164176	184667
20491	524628	545119
20491	1605712	1626203
20491	532688	553179
20491	786784	807275
20491	131536	152027
20491	264528	285019
20491	526672	547163
20491	16812352	16832843
20491	788800	809291
20491	17303872	17324363
20491	271680	292171
20491	17072448	17092939
20491	395584	416075
20491	16910656	16931147
20491	401728	422219
20491	16916800	16937291
20491	393552	414043
20491	393664	414155
20491	655808	676299
20491	917824	938315
20491	1835328	1855819
20491	2105680	2126171
20491	2228560	2249051
20491	2359632	2380123
20491	18874704	18895195
20491	133456	153947
20491	272464	292955
20491	534608	555099
20491	17041488	17061979
20491	3396	23887
20491	3408	23899
20491	11584	32075
20491	534848	555339
20491	265536	286027
20491	1051716	1072207
20491	1181776	1202267
20491	1312848	1333339
20491	17827920	17848411
20491	1837120	1857611
20491	16812224	16832715
20491	139600	160091
20491	655696	676187
20491	4849744	4870235
20491	17170512	17191003
20491	131412	151903
20491	131440	151931
20491	655712	676203
20491	132432	152923
20491	663872	684363
20491	164288	184779
20491	426304	446795
20491	688448	708939
20491	16941376	16961867
20491	1441872	1462363
20491	1704032	1724523
20491	1442112	1462603
20491	1712192	1732683
20491	1441984	1462475
20491	18219072	18239563
20491	16941136	16961627
20491	16941248	16961739
20491	1049924	1070415
20491	1311812	1332303
20491	1835088	1855579
20491	1050960	1071451
20491	1575232	1595723
20491	17828160	17848651
20491	1311056	1331547
20491	1050820	1071311
20491	1312864	1333355
20491	17827936	17848427
20491	9439552	9460043
20491	1083584	1104075
20491	1345600	1366091
20491	17860672	17881163
20491	1320000	1340491
20491	17835072	17855563
20491	1179972	1200463
20491	17958976	17979467
20491	1966144	1986635
20491	18088128	18108619
20491	18612288	18632779
20491	17956944	17977435
20491	20973648	20994139
20491	16785732	16806223
20491	16908612	16929103
20491	19136592	19157083
20491	263316	283807
20491	786608	807099
20491	17301680	17322171
20491	264592	285083
20491	16779664	16800155
20491	33563024	33583515
20491	393616	414107
20491	786832	807323
20491	8391056	8411547
20491	297104	317595
20491	16916624	16937115
20491	794768	815259
20491	395408	415899
20491	401552	422043
20491	34209936	34230427
20491	8651152	8671643
20491	25168016	25188507
20491	263556	284047
20491	16778628	16799119
20491	132496	152987
20491	263568	284059
20491	788864	809355
20491	1313152	1333643
20491	16785808	16806299
20491	8656	29147
20491	795008	815499
20491	164240	184731
20491	139664	160155
20491	917888	938379
20491	2228624	2249115
20491	2359696	2380187
20491	1311876	1332367
20491	1179856	1200347
20491	1313920	1334411
20491	17828992	17849483
20491	1320064	1340555
20491	17835136	17855627
20491	1843328	1863819
20491	1443968	1464459
20491	17959040	17979531
20491	1966208	1986699
20491	18481280	18501771
20491	18089088	18109579
20491	1704080	1724571
20491	16785856	16806347
20491	16779472	16799963
20491	16779652	16800143
20491	16941200	16961691
20491	17072272	17092763
20491	17170576	17191067
20491	17694848	17715339
20491	3348	23839
20491	16779712	16800203
20491	1313088	1333579
20491	1313040	1333531
20491	1319172	1339663
20491	565520	586011
20491	663824	684315
20491	10576	31067
20491	1059136	1079627
20491	140560	161051
20491	533776	554267
20491	11536	32027
20491	534800	555291
20491	1614080	1634571
20491	303376	323867
20491	794896	815387
20491	925952	946443
20491	1319184	1339675
20491	2892032	2912523
20491	1581328	1601819
20491	1188112	1208603
20491	1843456	1863947
20491	1188160	1208651
20491	8552720	8573211
20491	788752	809243
20491	17301892	17322383
20491	34078996	34099487
20491	917776	938267
20491	655760	676251
20491	8915216	8935707
20491	34081040	34101531
20491	1082000	1102491
20491	1311376	1331867
20491	394768	415259
20491	16909840	16930331
20491	4457232	4477723
20491	21103120	21123611
20491	789248	809739
20491	1057600	1078091
20491	272128	292619
20491	2360080	2380571
20491	1573664	1594155
20491	1835552	1856043
20491	1180240	1200731
20491	1049364	1069855
20491	17826564	17847055
20491	1311504	1331995
20491	1312272	1332763
20491	1083920	1104411
20491	1313296	1333787
20491	1051408	1071899
20491	1320448	1340939
20491	17835520	17856011
20491	1344016	1364507
20491	1182224	1202715
20491	1442560	1463051
20491	1835536	1856027
20491	1573636	1594127
20491	525616	546107
20491	394512	415003
20491	787728	808219
20491	525712	546203
20491	298000	318491
20491	16813072	16833563
20491	789520	810011
20491	17304592	17325083
20491	9364	29855
20491	296208	316699
20491	132244	152735
20491	394288	414779
20491	402448	422939
20491	25297936	25318427
20491	525460	545951
20491	2100496	2120987
20491	2106640	2127131
20491	18883600	18904091
20491	34604416	34624907
20491	263472	283963
20491	3472	23963
20491	16780560	16801051
20491	273664	294155
20491	789760	810251
20491	17304832	17325323
20491	271632	292123
20491	1058112	1078603
20491	402688	423179
20491	2229520	2250011
20491	17040768	17061259
20491	656656	677147
20491	787840	808331
20491	35130368	35150859
20491	535568	556059
20491	33563920	33584411
20491	9520	30011
20491	271744	292235
20491	795904	816395
20491	1190912	1211403
20491	1451008	1471499
20491	1582096	1602587
20491	1582208	1602699
20491	134416	154907
20491	140368	160859
20491	165136	185627
20491	3278080	3298571
20491	1049892	1070383
20491	1051728	1072219
20491	1836288	1856779
20491	1574020	1594511
20491	2630912	2651403
20491	16788736	16809227
20491	25169152	25189643
20491	16909584	16930075
20491	17564688	17585179
20491	17302672	17323163
20491	2512	23003
20491	526736	547227
20491	10388	30879
20491	534672	555163
20491	16943120	16963611
20491	1345552	1366043
20491	264400	284891
20491	17041680	17062171
20491	526484	546975
20491	1607696	1628187
20491	1050772	1071263
20491	1058896	1079387
20491	2107664	2128155
20491	4458768	4479259
20491	4720784	4741275
20491	21497872	21518363
20491	8390932	8411423
20491	8653072	8673563
20491	526724	547215
20491	265476	285967
20491	395536	416027
20491	1575184	1595675
20491	16779568	16800059
20491	526784	547275
20491	265488	285979
20491	10628	31119
20491	141584	162075
20491	16787728	16808219
20491	272704	293195
20491	16787776	16808267
20491	11024	31515
20491	796928	817419
20491	17312000	17332491
20491	1321216	1341707
20491	297232	317723
20491	17565952	17586443
20491	34343168	34363659
20491	657680	678171
20491	17303936	17324427
20491	1837312	1857803
20491	1313796	1334287
20491	17828868	17849359
20491	1575952	1596443
20491	1058948	1079439
20491	1320976	1341467
20491	1583120	1603611
20491	1321024	1341515
20491	17836096	17856587
20491	1321984	1342475
20491	1845248	1865739
20491	1091840	1112331
20491	1345792	1366283
20491	1443856	1464347
20491	1444864	1465355
20491	17959936	17980427
20491	18090112	18110603
20491	18091008	18111499
20491	18614272	18634763
20491	1706000	1726491
20491	1837072	1857563
20491	9701392	9721883
20491	18089988	18110479
20491	18090048	18110539
20491	16788496	16808987
20491	16787588	16808079
20491	17172496	17192987
20491	17049856	17070347
20491	17303812	17324303
20491	271380	291871
20491	1187984	1208475
20491	34218000	34238491
20491	19013648	19034139
20491	17571856	17592347
20491	3416080	3436571
20491	20981776	21002267
20491	21241872	21262363
20491	4988944	5009435
20491	9707536	9728027
20491	271620	292111
20491	16786692	16807183
20491	17309984	17330475
20491	270784	291275
20491	532928	553419
20491	403712	424203
20491	8528144	8548635
20491	8659216	8679707
20491	50340112	50360603
20491	1319952	1340443
20491	1452032	1472523
20491	17967104	17987595
20491	1450000	1470491
20491	18227200	18247691
20491	18620416	18640907
20491	25436416	25456907
20491	295060	315551
20491	557204	577695
20491	295956	316447
20491	16811028	16831519
20491	42256	62747
20491	297008	317499
20491	821264	841755
20491	17080336	17100827
20491	163988	184479
20491	166160	186651
20491	688400	708891
20491	427024	447515
20491	16942096	16962587
20491	17465360	17485851
20491	1220624	1241115
20491	17073168	17093659
20491	1083536	1104027
20491	4751632	4772123
20491	16818320	16838811
20491	295312	315803
20491	172176	192667
20491	16812176	16832667
20491	296196	316687
20491	16811268	16831759
20491	16941316	16961807
20491	1083652	1104143
20491	1343748	1364239
20491	17334544	17355035
20491	557504	577995
20491	36112	56603
20491	35204	55695
20491	41348	61839
20491	172304	192795
20491	16818448	16838939
20491	303424	323915
20491	304384	324875
20491	16819456	16839947
20491	827648	848139
20491	1351936	1372427
20491	16820480	16840971
20491	434432	454923
20491	16949504	16969995
20491	1343872	1364363
20491	17073408	17093899
20491	557444	577935
20491	819584	840075
20491	17334656	17355147
20491	1605904	1626395
20491	5800192	5820683
20491	8423696	8444187
20491	8683792	8704283
20491	35860	56351
20491	16820240	16840731
20491	44288	64779
20491	1084420	1104911
20491	1092608	1113099
