w1b	w2b	w3b	w4b	l2	l3	l4
20491	532756	1313824	16941248	553247	1867071	18808319
20491	788500	51511328	4202944	808991	52320319	56523263
20491	788500	164288	17835520	808991	973279	18808799
20491	788500	16941248	1123584	808991	17750239	18873823
20491	788500	16941248	9445664	808991	17750239	27195903
20491	794644	51511328	4197760	815135	52326463	56524223
20491	794644	34605344	16941248	815135	35420479	52361727
20491	794644	16812224	3278080	815135	17627359	20905439
20491	794644	16941376	5246080	815135	17756511	23002591
20491	794644	19038464	5246080	815135	19853599	25099679
20491	139540	16812224	1835552	160031	16972255	18807807
20491	17432596	1058912	4489600	17453087	18511999	23001599
20491	17432596	1058912	4457856	17453087	18511999	22969855
20491	17432596	1059872	4489600	17453087	18512959	23002559
20491	17432596	5246080	33825088	17453087	22699167	56524255
20491	16910356	524768	1320448	16930847	17455615	18776063
20491	16910356	1835552	4202944	16930847	18766399	22969343
20491	16910356	1320448	4719008	16930847	18251295	22970303
20491	16910356	1320448	4751744	16930847	18251295	23003039
20491	16910356	1320448	4719040	16930847	18251295	22970335
20491	16910356	4728064	3408064	16930847	21658911	25066975
20491	17303572	3571712	4202944	17324063	20895775	25098719
20491	262324	16916800	35130368	282815	17199615	52329983
20491	262324	11584	20578304	282815	294399	20872703
20491	262324	688448	17835520	282815	971263	18806783
20491	262324	16941376	35130368	282815	17224191	52354559
20491	262324	1712192	25169152	282815	1995007	27164159
20491	262324	17860672	2630912	282815	18143487	20774399
20491	262324	17860672	4728064	282815	18143487	22871551
20491	262324	17860672	4850944	282815	18143487	22994431
20491	262324	17835072	4882688	282815	18117887	23000575
20491	262324	17835520	690432	282815	18118335	18808767
20491	262324	17835520	4882688	282815	18118335	23001023
20491	262324	35130368	16949504	282815	35413183	52362687
20491	262324	35130368	19038464	282815	35413183	54451647
20491	262324	35130368	18882880	282815	35413183	54296063
20491	262324	35130368	20980032	282815	35413183	56393215
20491	262324	35130368	4333888	282815	35413183	39747071
20491	262324	2630912	22153216	282815	2913727	25066943
20491	262324	25169152	1744896	282815	25451967	27196863
20491	262324	25169152	5382208	282815	25451967	30834175
20491	262324	44288	20578304	282815	327103	20905407
20491	262324	2629952	22153216	282815	2912767	25065983
20491	34964	393568	17835520	55455	449023	18284543
20491	34964	34210080	1320000	55455	34265535	35585535
20491	34964	34210080	17835072	55455	34265535	52100607
20491	34964	34210080	1320448	55455	34265535	35585983
20491	34964	34210080	17835520	55455	34265535	52101055
20491	34964	34210080	5513280	55455	34265535	39778815
20491	34964	1441888	2630912	55455	1497343	4128255
20491	34964	1441888	4728064	55455	1497343	6225407
20491	34964	1441888	50341120	55455	1497343	51838463
20491	34964	1966112	18882880	55455	2021567	20904447
20491	34964	51511328	2892032	55455	51566783	54458815
20491	34964	51511328	272128	55455	51566783	51838911
20491	34964	51511328	2630912	55455	51566783	54197695
20491	34964	51511328	4464960	55455	51566783	56031743
20491	34964	51511328	4465920	55455	51566783	56032703
20491	34964	51511328	4981056	55455	51566783	56547839
20491	34964	51511328	4728064	55455	51566783	56294847
20491	34964	51511328	4989184	55455	51566783	56555967
20491	34964	51511328	2629952	55455	51566783	54196735
20491	34964	786784	17835520	55455	842239	18677759
20491	34964	655712	1320448	55455	711167	2031615
20491	34964	655712	17835520	55455	711167	18546687
20491	34964	1704032	19137792	55455	1759487	20897279
20491	34964	1320000	50987264	55455	1375455	52362719
20491	34964	1320000	25821440	55455	1375455	27196895
20491	34964	272128	20578304	55455	327583	20905887
20491	34964	1835552	18882880	55455	1891007	20773887
20491	34964	1835552	20980032	55455	1891007	22871039
20491	34964	1835552	4333888	55455	1891007	6224895
20491	34964	1835552	50340160	55455	1891007	52231167
20491	34964	1835552	50341120	55455	1891007	52232127
20491	34964	1320448	50987264	55455	1375903	52363167
20491	34964	1320448	25821440	55455	1375903	27197343
20491	34964	17835520	4981024	55455	17890975	22871999
20491	34964	17835520	4981056	55455	17890975	22872031
20491	34964	1246464	17571872	55455	1301919	18873791
20491	34964	50987264	5513280	55455	51042719	56555999
20491	34964	25952512	5382208	55455	26007967	31390175
