w1b	w2b	w3b	w4b	w5b	l2	l3	l4	l5
16912387	8914984	1344516	35668496	4202944	25827371	27171887	62840383	67043327
16912387	8914984	1344516	4202944	35668496	25827371	27171887	31374831	67043327
16912387	8914984	1351744	35668496	4195716	25827371	27179115	62847611	67043327
16912387	8914984	1351744	4195716	35668496	25827371	27179115	31374831	67043327
16912387	8914984	35668496	1344516	4202944	25827371	61495867	62840383	67043327
16912387	8914984	35668496	1351744	4195716	25827371	61495867	62847611	67043327
16912387	8914984	35668496	4195716	1351744	25827371	61495867	65691583	67043327
16912387	8914984	35668496	4202944	1344516	25827371	61495867	65698811	67043327
16912387	8914984	4195716	1351744	35668496	25827371	30023087	31374831	67043327
16912387	8914984	4195716	35668496	1351744	25827371	30023087	65691583	67043327
16912387	8914984	4202944	1344516	35668496	25827371	30030315	31374831	67043327
16912387	8914984	4202944	35668496	1344516	25827371	30030315	65698811	67043327
16912387	1344516	8914984	35668496	4202944	18256903	27171887	62840383	67043327
16912387	1344516	8914984	4202944	35668496	18256903	27171887	31374831	67043327
16912387	1344516	35668496	8914984	4202944	18256903	53925399	62840383	67043327
16912387	1344516	35668496	4202944	8914984	18256903	53925399	58128343	67043327
16912387	1344516	4202944	8914984	35668496	18256903	22459847	31374831	67043327
16912387	1344516	4202944	35668496	8914984	18256903	22459847	58128343	67043327
16912387	1351744	8914984	35668496	4195716	18264131	27179115	62847611	67043327
16912387	1351744	8914984	4195716	35668496	18264131	27179115	31374831	67043327
16912387	1351744	35668496	8914984	4195716	18264131	53932627	62847611	67043327
16912387	1351744	35668496	4195716	8914984	18264131	53932627	58128343	67043327
16912387	1351744	4195716	8914984	35668496	18264131	22459847	31374831	67043327
16912387	1351744	4195716	35668496	8914984	18264131	22459847	58128343	67043327
16912387	35668496	8914984	1344516	4202944	52580883	61495867	62840383	67043327
16912387	35668496	8914984	1351744	4195716	52580883	61495867	62847611	67043327
16912387	35668496	8914984	4195716	1351744	52580883	61495867	65691583	67043327
16912387	35668496	8914984	4202944	1344516	52580883	61495867	65698811	67043327
16912387	35668496	1344516	8914984	4202944	52580883	53925399	62840383	67043327
16912387	35668496	1344516	4202944	8914984	52580883	53925399	58128343	67043327
16912387	35668496	1351744	8914984	4195716	52580883	53932627	62847611	67043327
16912387	35668496	1351744	4195716	8914984	52580883	53932627	58128343	67043327
16912387	35668496	4195716	8914984	1351744	52580883	56776599	65691583	67043327
16912387	35668496	4195716	1351744	8914984	52580883	56776599	58128343	67043327
16912387	35668496	4202944	8914984	1344516	52580883	56783827	65698811	67043327
16912387	35668496	4202944	1344516	8914984	52580883	56783827	58128343	67043327
16912387	4195716	8914984	1351744	35668496	21108103	30023087	31374831	67043327
16912387	4195716	8914984	35668496	1351744	21108103	30023087	65691583	67043327
16912387	4195716	1351744	8914984	35668496	21108103	22459847	31374831	67043327
16912387	4195716	1351744	35668496	8914984	21108103	22459847	58128343	67043327
16912387	4195716	35668496	8914984	1351744	21108103	56776599	65691583	67043327
16912387	4195716	35668496	1351744	8914984	21108103	56776599	58128343	67043327
16912387	4202944	8914984	1344516	35668496	21115331	30030315	31374831	67043327
16912387	4202944	8914984	35668496	1344516	21115331	30030315	65698811	67043327
16912387	4202944	1344516	8914984	35668496	21115331	22459847	31374831	67043327
16912387	4202944	1344516	35668496	8914984	21115331	22459847	58128343	67043327
16912387	4202944	35668496	8914984	1344516	21115331	56783827	65698811	67043327
16912387	4202944	35668496	1344516	8914984	21115331	56783827	58128343	67043327
25202689	850	2121764	458888	35130368	25203539	27325303	27784191	62914559
25202689	850	2121764	35130368	458888	25203539	27325303	62455671	62914559
25202689	850	458888	2121764	35130368	25203539	25662427	27784191	62914559
25202689	850	458888	35130368	2121764	25203539	25662427	60792795	62914559
25202689	850	35130368	2121764	458888	25203539	60333907	62455671	62914559
25202689	850	35130368	458888	2121764	25203539	60333907	60792795	62914559
25202689	4194642	2121764	458888	35130368	29397331	31519095	31977983	67108351
25202689	4194642	2121764	35130368	458888	29397331	31519095	66649463	67108351
25202689	4194642	458888	2121764	35130368	29397331	29856219	31977983	67108351
25202689	4194642	458888	35130368	2121764	29397331	29856219	64986587	67108351
25202689	4194642	35130368	2121764	458888	29397331	64527699	66649463	67108351
25202689	4194642	35130368	458888	2121764	29397331	64527699	64986587	67108351
25202689	34226178	6291844	2616	1320000	59428867	65720711	65723327	67043327
25202689	34226178	6291844	1320000	2616	59428867	65720711	67040711	67043327
25202689	34226178	2616	6291844	1320000	59428867	59431483	65723327	67043327
25202689	34226178	2616	1320000	6291844	59428867	59431483	60751483	67043327
25202689	34226178	1320000	6291844	2616	59428867	60748867	67040711	67043327
25202689	34226178	1320000	2616	6291844	59428867	60748867	60751483	67043327
25202689	6291844	34226178	2616	1320000	31494533	65720711	65723327	67043327
25202689	6291844	34226178	1320000	2616	31494533	65720711	67040711	67043327
25202689	6291844	2616	34226178	1320000	31494533	31497149	65723327	67043327
25202689	6291844	2616	1320000	34226178	31494533	31497149	32817149	67043327
25202689	6291844	1320000	34226178	2616	31494533	32814533	67040711	67043327
25202689	6291844	1320000	2616	34226178	31494533	32814533	32817149	67043327
25202689	4849796	1310762	11584	35668496	30052485	31363247	31374831	67043327
