w1	w2	l2_existing	r2_remainder
abdom	celts	abcdelmost	fghijknpqruvwxyz
abdom	cents	abcdemnost	fghijklpqruvwxyz
abdom	chefs	abcdefhmos	gijklnpqrtuvwxyz
abdom	chelp	abcdehlmop	fgijknqrstuvwxyz
abdom	cheng	abcdeghmno	fijklpqrstuvwxyz
abdom	chert	abcdehmort	fgijklnpqsuvwxyz
abdom	chest	abcdehmost	fgijklnpqruvwxyz
abdom	chews	abcdehmosw	fgijklnpqrtuvxyz
abdom	ching	abcdghimno	efjklpqrstuvwxyz
abdom	chink	abcdhikmno	efgjlpqrstuvwxyz
abdom	chins	abcdhimnos	efgjklpqrtuvwxyz
abdom	chint	abcdhimnot	efgjklpqrsuvwxyz
abdom	chips	abcdhimops	efgjklnqrtuvwxyz
abdom	chirk	abcdhikmor	efgjlnpqstuvwxyz
abdom	chirl	abcdhilmor	efgjknpqstuvwxyz
abdom	chirp	abcdhimopr	efgjklnqstuvwxyz
abdom	chirt	abcdhimort	efgjklnpqsuvwxyz
abdom	chits	abcdhimost	efgjklnpqruvwxyz
abdom	chivw	abcdhimovw	efgjklnpqrstuxyz
abdom	chris	abcdhimors	efgjklnpqtuvwxyz
abdom	chugs	abcdghmosu	efijklnpqrtvwxyz
abdom	chung	abcdghmnou	efijklpqrstvwxyz
abdom	chunk	abcdhkmnou	efgijlpqrstvwxyz
abdom	churl	abcdhlmoru	efgijknpqstvwxyz
abdom	churn	abcdhmnoru	efgijklpqstvwxyz
abdom	clefs	abcdeflmos	ghijknpqrtuvwxyz
abdom	cleft	abcdeflmot	ghijknpqrsuvwxyz
abdom	clept	abcdelmopt	fghijknqrsuvwxyz
abdom	clerk	abcdeklmor	fghijnpqstuvwxyz
abdom	clews	abcdelmosw	fghijknpqrtuvxyz
abdom	clift	abcdfilmot	eghjknpqrsuvwxyz
abdom	cling	abcdgilmno	efhjkpqrstuvwxyz
abdom	clink	abcdiklmno	efghjpqrstuvwxyz
abdom	clint	abcdilmnot	efghjkpqrsuvwxyz
abdom	clips	abcdilmops	efghjknqrtuvwxyz
abdom	clipt	abcdilmopt	efghjknqrsuvwxyz
abdom	clung	abcdglmnou	efhijkpqrstvwxyz
abdom	clunk	abcdklmnou	efghijpqrstvwxyz
abdom	crept	abcdemoprt	fghijklnqsuvwxyz
abdom	crest	abcdemorst	fghijklnpquvwxyz
abdom	crews	abcdemorsw	fghijklnpqtuvxyz
abdom	crink	abcdikmnor	efghjlpqstuvwxyz
abdom	crips	abcdimoprs	efghjklnqtuvwxyz
abdom	crunk	abcdkmnoru	efghijlpqstvwxyz
abdom	crunt	abcdmnortu	efghijklpqsvwxyz
abdom	crush	abcdhmorsu	efgijklnpqtvwxyz
abdom	crust	abcdmorstu	efghijklnpqvwxyz
abdom	cruth	abcdhmortu	efgijklnpqsvwxyz
abdom	crwth	abcdhmortw	efgijklnpqsuvxyz
abdom	crypt	abcdmoprty	efghijklnqsuvwxz
abdom	cryst	abcdmorsty	efghijklnpquvwxz
abdom	cults	abcdlmostu	efghijknpqrvwxyz
abdom	cunts	abcdmnostu	efghijklpqrvwxyz
abdom	curfs	abcdfmorsu	eghijklnpqtvwxyz
abdom	curls	abcdlmorsu	efghijknpqtvwxyz
abdom	curns	abcdmnorsu	efghijklpqtvwxyz
abdom	ernst	abdemnorst	cfghijklpquvwxyz
abdom	exptl	abdelmoptx	cfghijknqrsuvwyz
abdom	fecks	abcdefkmos	ghijlnpqrtuvwxyz
abdom	felts	abdeflmost	cghijknpqruvwxyz
abdom	fenks	abdefkmnos	cghijlpqrtuvwxyz
abdom	ferns	abdefmnors	cghijklpqtuvwxyz
abdom	ferth	abdefhmort	cgijklnpqsuvwxyz
abdom	fetch	abcdefhmot	gijklnpqrsuvwxyz
abdom	fight	abdfghimot	cejklnpqrsuvwxyz
abdom	filch	abcdfhilmo	egjknpqrstuvwxyz
abdom	filth	abdfhilmot	cegjknpqrsuvwxyz
abdom	finch	abcdfhimno	egjklpqrstuvwxyz
abdom	finks	abdfikmnos	ceghjlpqrtuvwxyz
abdom	firns	abdfimnors	ceghjklpqtuvwxyz
abdom	first	abdfimorst	ceghjklnpquvwxyz
abdom	firth	abdfhimort	cegjklnpqsuvwxyz
abdom	fitch	abcdfhimot	egjklnpqrsuvwxyz
abdom	flche	abcdefhlmo	gijknpqrstuvwxyz
abdom	fleck	abcdefklmo	ghijnpqrstuvwxyz
abdom	flesh	abdefhlmos	cgijknpqrtuvwxyz
abdom	flews	abdeflmosw	cghijknpqrtuvxyz
abdom	flick	abcdfiklmo	eghjnpqrstuvwxyz
abdom	flics	abcdfilmos	eghjknpqrtuvwxyz
abdom	fling	abdfgilmno	cehjkpqrstuvwxyz
abdom	flint	abdfilmnot	ceghjkpqrsuvwxyz
abdom	flips	abdfilmops	ceghjknqrtuvwxyz
abdom	flirt	abdfilmort	ceghjknpqsuvwxyz
abdom	flisk	abdfiklmos	ceghjnpqrtuvwxyz
abdom	flits	abdfilmost	ceghjknpqruvwxyz
abdom	flung	abdfglmnou	cehijkpqrstvwxyz
abdom	flunk	abdfklmnou	ceghijpqrstvwxyz
abdom	flurn	abdflmnoru	ceghijkpqstvwxyz
abdom	flurt	abdflmortu	ceghijknpqsvwxyz
abdom	flush	abdfhlmosu	cegijknpqrtvwxyz
abdom	flusk	abdfklmosu	ceghijnpqrtvwxyz
abdom	freck	abcdefkmor	ghijlnpqstuvwxyz
abdom	fresh	abdefhmors	cgijklnpqtuvwxyz
abdom	frets	abdefmorst	cghijklnpquvwxyz
abdom	frigs	abdfgimors	cehjklnpqtuvwxyz
abdom	frisk	abdfikmors	ceghjlnpqtuvwxyz
abdom	fritz	abdfimortz	ceghjklnpqsuvwxy
abdom	frugs	abdfgmorsu	cehijklnpqtvwxyz
abdom	frush	abdfhmorsu	cegijklnpqtvwxyz
abdom	frust	abdfmorstu	ceghijklnpqvwxyz
abdom	fucks	abcdfkmosu	eghijlnpqrtvwxyz
abdom	fulth	abdfhlmotu	cegijknpqrsvwxyz
abdom	fultz	abdflmotuz	ceghijknpqrsvwxy
abdom	funks	abdfkmnosu	ceghijlpqrtvwxyz
abdom	furls	abdflmorsu	ceghijknpqtvwxyz
abdom	fusht	abdfhmostu	cegijklnpqrvwxyz
abdom	gecks	abcdegkmos	fhijlnpqrtuvwxyz
abdom	gelts	abdeglmost	cfhijknpqruvwxyz
abdom	gents	abdegmnost	cfhijklpqruvwxyz
abdom	ghent	abdeghmnot	cfijklpqrsuvwxyz
abdom	gifts	abdfgimost	cehjklnpqruvwxyz
abdom	gilts	abdgilmost	cefhjknpqruvwxyz
abdom	ginks	abdgikmnos	cefhjlpqrtuvwxyz
abdom	girls	abdgilmors	cefhjknpqtuvwxyz
abdom	girns	abdgimnors	cefhjklpqtuvwxyz
abdom	girsh	abdghimors	cefjklnpqtuvwxyz
abdom	girth	abdghimort	cefjklnpqsuvwxyz
abdom	girts	abdgimorst	cefhjklnpquvwxyz
abdom	glens	abdeglmnos	cfhijkpqrtuvwxyz
abdom	glent	abdeglmnot	cfhijkpqrsuvwxyz
abdom	glick	abcdgiklmo	efhjnpqrstuvwxyz
abdom	glink	abdgiklmno	cefhjpqrstuvwxyz
abdom	glint	abdgilmnot	cefhjkpqrsuvwxyz
abdom	glisk	abdgiklmos	cefhjnpqrtuvwxyz
abdom	gluck	abcdgklmou	efhijnpqrstvwxyz
abdom	gluts	abdglmostu	cefhijknpqrvwxyz
abdom	glyph	abdghlmopy	cefijknqrstuvwxz
abdom	grewt	abdegmortw	cfhijklnpqsuvxyz
abdom	grift	abdfgimort	cehjklnpqsuvwxyz
abdom	grint	abdgimnort	cefhjklpqsuvwxyz
abdom	griph	abdghimopr	cefjklnqstuvwxyz
abdom	grips	abdgimoprs	cefhjklnqtuvwxyz
abdom	gript	abdgimoprt	cefhjklnqsuvwxyz
abdom	gruft	abdfgmortu	cehijklnpqsvwxyz
abdom	grunt	abdgmnortu	cefhijklpqsvwxyz
abdom	grush	abdghmorsu	cefijklnpqtvwxyz
abdom	gryph	abdghmopry	cefijklnqstuvwxz
abdom	gucks	abcdgkmosu	efhijlnpqrtvwxyz
abdom	gulch	abcdghlmou	efijknpqrstvwxyz
abdom	gulfs	abdfglmosu	cehijknpqrtvwxyz
abdom	gulph	abdghlmopu	cefijknqrstvwxyz
abdom	gulps	abdglmopsu	cefhijknqrtvwxyz
abdom	gunks	abdgkmnosu	cefhijlpqrtvwxyz
abdom	gurts	abdgmorstu	cefhijklnpqvwxyz
abdom	hecks	abcdehkmos	fgijlnpqrtuvwxyz
abdom	hefts	abdefhmost	cgijklnpqruvwxyz
abdom	helps	abdehlmops	cfgijknqrtuvwxyz
abdom	hents	abdehmnost	cfgijklpqruvwxyz
abdom	herls	abdehlmors	cfgijknpqtuvwxyz
abdom	herns	abdehmnors	cfgijklpqtuvwxyz
abdom	hertz	abdehmortz	cfgijklnpqsuvwxy
abdom	hicks	abcdhikmos	efgjlnpqrtuvwxyz
abdom	hilts	abdhilmost	cefgjknpqruvwxyz
abdom	hints	abdhimnost	cefgjklpqruvwxyz
abdom	hirst	abdhimorst	cefgjklnpquvwxyz
abdom	hucks	abcdhkmosu	efgijlnpqrtvwxyz
abdom	hulks	abdhklmosu	cefgijnpqrtvwxyz
abdom	hunks	abdhkmnosu	cefgijlpqrtvwxyz
abdom	hunts	abdhmnostu	cefgijklpqrvwxyz
abdom	hurls	abdhlmorsu	cefgijknpqtvwxyz
abdom	hurst	abdhmorstu	cefgijklnpqvwxyz
abdom	hyrst	abdhmorsty	cefgijklnpquvwxz
abdom	instr	abdimnorst	cefghjklpquvwxyz
abdom	intsv	abdimnostv	cefghjklpqruwxyz
abdom	jerks	abdejkmors	cfghilnpqtuvwxyz
abdom	jilts	abdijlmost	cefghknpqruvwxyz
abdom	jinks	abdijkmnos	cefghlpqrtuvwxyz
abdom	jufts	abdfjmostu	ceghiklnpqrvwxyz
abdom	junks	abdjkmnosu	cefghilpqrtvwxyz
abdom	kelps	abdeklmops	cfghijnqrtuvwxyz
abdom	kelts	abdeklmost	cfghijnpqruvwxyz
abdom	kench	abcdehkmno	fgijlpqrstuvwxyz
abdom	kerch	abcdehkmor	fgijlnpqstuvwxyz
abdom	kerfs	abdefkmors	cghijlnpqtuvwxyz
abdom	kerns	abdekmnors	cfghijlpqtuvwxyz
abdom	ketch	abcdehkmot	fgijlnpqrsuvwxyz
abdom	kilns	abdiklmnos	cefghjpqrtuvwxyz
abdom	kilts	abdiklmost	cefghjnpqruvwxyz
abdom	kirns	abdikmnors	cefghjlpqtuvwxyz
abdom	kiths	abdhikmost	cefgjlnpqruvwxyz
abdom	klutz	abdklmotuz	cefghijnpqrsvwxy
abdom	knelt	abdeklmnot	cfghijpqrsuvwxyz
abdom	knish	abdhikmnos	cefgjlpqrtuvwxyz
abdom	knits	abdikmnost	cefghjlpqruvwxyz
abdom	knurl	abdklmnoru	cefghijpqstvwxyz
abdom	knurs	abdkmnorsu	cefghijlpqtvwxyz
abdom	knuth	abdhkmnotu	cefgijlpqrsvwxyz
abdom	kreng	abdegkmnor	cfhijlpqstuvwxyz
abdom	kutch	abcdhkmotu	efgijlnpqrsvwxyz
abdom	kvint	abdikmnotv	cefghjlpqrsuwxyz
abdom	lench	abcdehlmno	fgijkpqrstuvwxyz
abdom	lenth	abdehlmnot	cfgijkpqrsuvwxyz
abdom	lesgh	abdeghlmos	cfijknpqrtuvwxyz
abdom	letch	abcdehlmot	fgijknpqrsuvwxyz
abdom	lewth	abdehlmotw	cfgijknpqrsuvxyz
abdom	licht	abcdhilmot	efgjknpqrsuvwxyz
abdom	licks	abcdiklmos	efghjnpqrtuvwxyz
abdom	light	abdghilmot	cefjknpqrsuvwxyz
abdom	linch	abcdhilmno	efgjkpqrstuvwxyz
abdom	lings	abdgilmnos	cefhjkpqrtuvwxyz
abdom	lints	abdilmnost	cefghjkpqruvwxyz
abdom	liszt	abdilmostz	cefghjknpqruvwxy
abdom	lucks	abcdklmosu	efghijnpqrtvwxyz
abdom	lunch	abcdhlmnou	efgijkpqrstvwxyz
abdom	lungs	abdglmnosu	cefhijkpqrtvwxyz
abdom	lunks	abdklmnosu	cefghijpqrtvwxyz
abdom	lunts	abdlmnostu	cefghijkpqrvwxyz
abdom	lurks	abdklmorsu	cefghijnpqtvwxyz
abdom	lynch	abcdhlmnoy	efgijkpqrstuvwxz
abdom	necks	abcdekmnos	fghijlpqrtuvwxyz
