w1	w2	w3	w4	l4	r4
abdom	chefs	klutz	wring	abcdefghiklmnorstuwz	jpqvxy
abdom	chelp	fritz	gunks	abcdefghiklmnoprstuz	jqvwxy
abdom	chelp	fritz	junks	abcdefhijklmnoprstuz	gqvwxy
abdom	chelp	fritz	swung	abcdefghilmnoprstuwz	jkqvxy
abdom	chelp	frugs	kvint	abcdefghiklmnoprstuv	jqwxyz
abdom	chelp	frugs	twink	abcdefghiklmnoprstuw	jqvxyz
abdom	chelp	grift	junks	abcdefghijklmnoprstu	qvwxyz
abdom	chelp	jufts	wring	abcdefghijlmnoprstuw	kqvxyz
abdom	chews	fritz	plunk	abcdefhiklmnoprstuwz	gjqvxy
abdom	ching	fultz	jerks	abcdefghijklmnorstuz	pqvwxy
abdom	ching	klutz	sprew	abcdeghiklmnoprstuwz	fjqvxy
abdom	chink	exptl	frugs	abcdefghiklmnoprstux	jqvwyz
abdom	chink	gruft	seqwl	abcdefghiklmnoqrstuw	jpvxyz
abdom	chirk	exptl	swung	abcdeghiklmnoprstuwx	fjqvyz
abdom	chivw	exptl	frugs	abcdefghilmoprstuvwx	jknqyz
abdom	chivw	exptl	funks	abcdefhiklmnopstuvwx	gjqryz
abdom	chivw	exptl	gunks	abcdeghiklmnopstuvwx	fjqryz
abdom	chivw	exptl	junks	abcdehijklmnopstuvwx	fgqryz
abdom	chivw	exptl	knurs	abcdehiklmnoprstuvwx	fgjqyz
abdom	chivw	exptl	rungs	abcdeghilmnoprstuvwx	fjkqyz
abdom	chivw	ferns	klutz	abcdefhiklmnorstuvwz	gjpqxy
abdom	chivw	flung	jerks	abcdefghijklmnorsuvw	pqtxyz
abdom	chivw	flung	perks	abcdefghiklmnoprsuvw	jqtxyz
abdom	chivw	flung	prest	abcdefghilmnoprstuvw	jkqxyz
abdom	chivw	flung	spekt	abcdefghiklmnopstuvw	jqrxyz
abdom	chivw	flung	sterk	abcdefghiklmnorstuvw	jpqxyz
abdom	chivw	flunk	prest	abcdefhiklmnoprstuvw	gjqxyz
abdom	chivw	fultz	jerks	abcdefhijklmorstuvwz	gnpqxy
abdom	chivw	fultz	kreng	abcdefghiklmnortuvwz	jpqsxy
abdom	chivw	fultz	perks	abcdefhiklmoprstuvwz	gjnqxy
abdom	chivw	fultz	snerp	abcdefhilmnoprstuvwz	gjkqxy
abdom	chivw	gruft	kelps	abcdefghiklmoprstuvw	jnqxyz
abdom	chivw	grunt	kelps	abcdeghiklmnoprstuvw	fjqxyz
abdom	chivw	gulfs	nertz	abcdefghilmnorstuvwz	jkpqxy
abdom	chivw	gulps	nertz	abcdeghilmnoprstuvwz	fjkqxy
abdom	chivw	jufts	kreng	abcdefghijkmnorstuvw	lpqxyz
abdom	chivw	klutz	snerp	abcdehiklmnoprstuvwz	fgjqxy
abdom	chung	fritz	seqwl	abcdefghilmnoqrstuwz	jkpvxy
abdom	chunk	fritz	seqwl	abcdefhiklmnoqrstuwz	gjpvxy
abdom	chunk	gript	seqwl	abcdeghiklmnopqrstuw	fjvxyz
abdom	clefs	gryph	kvint	abcdefghiklmnoprstvy	jquwxz
abdom	clefs	gryph	twink	abcdefghiklmnoprstwy	jquvxz
abdom	cleft	gryph	jinks	abcdefghijklmnoprsty	quvwxz
abdom	cleft	gryph	junks	abcdefghjklmnoprstuy	iqvwxz
abdom	clerk	jufts	whing	abcdefghijklmnorstuw	pqvxyz
abdom	clews	gryph	kvint	abcdeghiklmnoprstvwy	fjquxz
abdom	clift	gryph	junks	abcdfghijklmnoprstuy	eqvwxz
abdom	clift	sphex	wrung	abcdefghilmnoprstuwx	jkqvyz
abdom	clung	fritz	sphex	abcdefghilmnoprstuxz	jkqvwy
abdom	clung	jerks	whipt	abcdeghijklmnoprstuw	fqvxyz
abdom	clunk	fritz	sphex	abcdefhiklmnoprstuxz	gjqvwy
abdom	clunk	gryph	swift	abcdfghiklmnoprstuwy	ejqvxz
abdom	clunk	gryph	wefts	abcdefghklmnoprstuwy	ijqvxz
abdom	crink	exptl	vughs	abcdeghiklmnoprstuvx	fjqwyz
abdom	crink	jufts	whelp	abcdefhijklmnoprstuw	gqvxyz
abdom	crwth	exing	flusk	abcdefghiklmnorstuwx	jpqvyz
abdom	crwth	felix	junks	abcdefhijklmnorstuwx	gpqvyz
abdom	crwth	felix	punks	abcdefhiklmnoprstuwx	gjqvyz
abdom	crwth	fling	pyxes	abcdefghilmnoprstwxy	jkquvz
abdom	crwth	flips	junky	abcdfhijklmnoprstuwy	egqvxz
abdom	crwth	flips	kevyn	abcdefhiklmnoprstvwy	gjquxz
abdom	crwth	fluky	zings	abcdfghiklmnorstuwyz	ejpqvx
abdom	crwth	flung	jives	abcdefghijlmnorstuvw	kpqxyz
abdom	crwth	flung	pyxes	abcdefghlmnoprstuwxy	ijkqvz
abdom	crwth	flung	pyxis	abcdfghilmnoprstuwxy	ejkqvz
abdom	crwth	flung	skivy	abcdfghiklmnorstuvwy	ejpqxz
abdom	crwth	flunk	gyves	abcdefghklmnorstuvwy	ijpqxz
abdom	crwth	flunk	jives	abcdefhijklmnorstuvw	gpqxyz
abdom	crwth	flunk	pyxes	abcdefhklmnoprstuwxy	gijqvz
abdom	crwth	flunk	pyxis	abcdfhiklmnoprstuwxy	egjqvz
abdom	crwth	flusk	vixen	abcdefhiklmnorstuvwx	gjpqyz
abdom	crwth	flype	jinks	abcdefhijklmnoprstwy	gquvxz
abdom	crwth	flype	junks	abcdefhjklmnoprstuwy	giqvxz
abdom	crwth	flype	zings	abcdefghilmnoprstwyz	jkquvx
abdom	crwth	gilpy	junks	abcdghijklmnoprstuwy	efqvxz
abdom	crwth	glink	pyxes	abcdeghiklmnoprstwxy	fjquvz
abdom	crwth	gulfs	vixen	abcdefghilmnorstuvwx	jkpqyz
abdom	crwth	gulfy	jinks	abcdfghijklmnorstuwy	epqvxz
abdom	crwth	gulps	kevyn	abcdeghklmnoprstuvwy	fijqxz
abdom	crwth	gulps	zinky	abcdghiklmnoprstuwyz	efjqvx
abdom	crwth	gunks	vexil	abcdeghiklmnorstuvwx	fjpqyz
abdom	crwth	jinks	pulex	abcdehijklmnoprstuwx	fgqvyz
abdom	crwth	jives	plunk	abcdehijklmnoprstuvw	fgqxyz
abdom	crwth	julep	zings	abcdeghijlmnoprstuwz	fkqvxy
abdom	crwth	junks	vexil	abcdehijklmnorstuvwx	fgpqyz
abdom	crwth	kelps	zingy	abcdeghiklmnoprstwyz	fjquvx
abdom	crwth	kylix	pungs	abcdghiklmnoprstuwxy	efjqvz
abdom	crwth	pelfs	quink	abcdefhiklmnopqrstuw	gjvxyz
abdom	crwth	pelfs	vying	abcdefghilmnoprstvwy	jkquxz
abdom	crwth	pelfs	zinky	abcdefhiklmnoprstwyz	gjquvx
abdom	crwth	pulex	zings	abcdeghilmnoprstuwxz	fjkqvy
abdom	crwth	skelf	vying	abcdefghiklmnorstvwy	jpquxz
abdom	crwth	skelf	zingy	abcdefghiklmnorstwyz	jpquvx
abdom	crwth	skulp	vying	abcdghiklmnoprstuvwy	efjqxz
abdom	crwth	upfly	zings	abcdfghilmnoprstuwyz	ejkqvx
abdom	curfs	glyph	kvint	abcdfghiklmnoprstuvy	ejqwxz
abdom	exptl	frugs	whick	abcdefghiklmoprstuwx	jnqvyz
abdom	exptl	fucks	whing	abcdefghiklmnopstuwx	jqrvyz
abdom	exptl	fucks	wring	abcdefgiklmnoprstuwx	hjqvyz
abdom	exptl	vughs	wrick	abcdeghiklmoprstuvwx	fjnqyz
abdom	fleck	gryph	snitz	abcdefghiklmnoprstyz	jquvwx
abdom	fleck	qursh	vingt	abcdefghiklmnoqrstuv	jpwxyz
abdom	fleck	spitz	wrung	abcdefgiklmnoprstuwz	hjqvxy
abdom	fleck	thruv	zings	abcdefghiklmnorstuvz	jpqwxy
abdom	flews	gryph	kvint	abdefghiklmnoprstvwy	cjquxz
abdom	flick	sphex	wrung	abcdefghiklmnoprsuwx	jqtvyz
abdom	flung	jerks	whipt	abdefghijklmnoprstuw	cqvxyz
abdom	flung	sphex	twirk	abdefghiklmnoprstuwx	cjqvyz
abdom	fritz	gluck	sphex	abcdefghiklmoprstuxz	jnqvwy
abdom	fritz	glyph	junks	abdfghijklmnoprstuyz	ceqvwx
abdom	fritz	glyph	snuck	abcdfghiklmnoprstuyz	ejqvwx
abdom	fritz	gucks	whelp	abcdefghiklmoprstuwz	jnqvxy
abdom	fritz	gunks	whelp	abdefghiklmnoprstuwz	cjqvxy
abdom	fritz	junks	welch	abcdefhijklmnorstuwz	gpqvxy
abdom	fritz	junks	whelp	abdefhijklmnoprstuwz	cgqvxy
abdom	fritz	pleck	vughs	abcdefghiklmoprstuvz	jnqwxy
abdom	fritz	punch	seqwl	abcdefhilmnopqrstuwz	gjkvxy
abdom	frugs	kvint	whelp	abdefghiklmnoprstuvw	cjqxyz
abdom	fucks	glyph	nertz	abcdefghklmnoprstuyz	ijqvwx
abdom	fultz	gryph	swick	abcdfghiklmoprstuwyz	ejnqvx
abdom	fultz	gryph	swink	abdfghiklmnoprstuwyz	cejqvx
abdom	fultz	jerks	whing	abdefghijklmnorstuwz	cpqvxy
abdom	fultz	pecks	whing	abcdefghiklmnopstuwz	jqrvxy
abdom	fultz	sphex	wrick	abcdefhiklmoprstuwxz	gjnqvy
abdom	fultz	sphex	wring	abdefghilmnoprstuwxz	cjkqvy
abdom	glyph	jufts	wreck	abcdefghjklmoprstuwy	inqvxz
abdom	glyph	jufts	wrick	abcdfghijklmoprstuwy	enqvxz
abdom	grewt	junks	zilch	abcdeghijklmnorstuwz	fpqvxy
abdom	grift	punch	seqwl	abcdefghilmnopqrstuw	jkvxyz
abdom	gryph	kvint	seqwl	abdeghiklmnopqrstvwy	cfjuxz
abdom	jufts	pleck	whing	abcdefghijklmnopstuw	qrvxyz
abdom	jufts	pleck	wring	abcdefgijklmnoprstuw	hqvxyz
abdom	junks	twerp	zilch	abcdehijklmnoprstuwz	fgqvxy
abdom	klutz	sphex	wring	abdeghiklmnoprstuwxz	cfjqvy
abdom	pleck	qursh	vingt	abcdeghiklmnopqrstuv	fjwxyz
abdom	pleck	thruv	zings	abcdeghiklmnoprstuvz	fjqwxy
abend	chirp	fultz	gowks	abcdefghiklnoprstuwz	jmqvxy
abend	chivw	flump	grosz	abcdefghilmnoprsuvwz	jkqtxy
abend	chivw	frogs	klutz	abcdefghiklnorstuvwz	jmpqxy
abend	chivw	frugs	plotx	abcdefghilnoprstuvwx	jkmqyz
abend	chivw	frump	jolts	abcdefhijlmnoprstuvw	gkqxyz
abend	chivw	fultz	porks	abcdefhiklnoprstuvwz	gjmqxy
abend	chivw	fultz	progs	abcdefghilnoprstuvwz	jkmqxy
abend	chivw	gruft	klops	abcdefghiklnoprstuvw	jmqxyz
abend	chivw	grump	jolts	abcdeghijlmnoprstuvw	fkqxyz
abend	chivw	klutz	progs	abcdeghiklnoprstuvwz	fjmqxy
abend	chowk	fritz	glump	abcdefghiklmnoprtuwz	jqsvxy
abend	chowk	fritz	jumps	abcdefhijkmnoprstuwz	glqvxy
abend	chowk	grift	jumps	abcdefghijkmnoprstuw	lqvxyz
abend	chump	fritz	gowks	abcdefghikmnoprstuwz	jlqvxy
abend	chump	fritz	jowls	abcdefhijlmnoprstuwz	gkqvxy
abend	clomp	fritz	vughs	abcdefghilmnoprstuvz	jkqwxy
abend	crwth	flisk	jumpy	abcdefhijklmnprstuwy	goqvxz
abend	crwth	flogs	jimpy	abcdefghijlmnoprstwy	kquvxz
abend	crwth	flogs	jumpy	abcdefghjlmnoprstuwy	ikqvxz
abend	crwth	fluky	gimps	abcdefghiklmnprstuwy	joqvxz
abend	crwth	flump	skivy	abcdefhiklmnprstuvwy	gjoqxz
abend	crwth	foxly	jumps	abcdefhjlmnoprstuwxy	gikqvz
abend	crwth	foxly	skimp	abcdefhiklmnoprstwxy	gjquvz
abend	crwth	glisk	jumpy	abcdeghijklmnprstuwy	foqvxz
abend	crwth	glump	skivy	abcdeghiklmnprstuvwy	fjoqxz
abend	crwth	gulfs	jimpy	abcdefghijlmnprstuwy	koqvxz
abend	crwth	jumps	kylix	abcdehijklmnprstuwxy	fgoqvz
abend	crypt	flowk	vughs	abcdefghklnoprstuvwy	ijmqxz
abend	fcomp	twirk	vughs	abcdefghikmnoprstuvw	jlqxyz
abend	flick	grosz	whump	abcdefghiklmnoprsuwz	jqtvxy
abend	flimp	jocks	thruv	abcdefhijklmnoprstuv	gqwxyz
abend	fritz	gluck	qophs	abcdefghiklnopqrstuz	jmvwxy
abend	fritz	glump	jocks	abcdefgijklmnoprstuz	hqvwxy
abend	fritz	glyph	jocks	abcdefghijklnoprstyz	mquvwx
abend	fritz	glyph	mucks	abcdefghiklmnprstuyz	joqvwx
abend	fritz	gowks	lymph	abdefghiklmnoprstwyz	cjquvx
abend	fritz	gucks	phlox	abcdefghiklnoprstuxz	jmqvwy
abend	fritz	gulph	jocks	abcdefghijklnoprstuz	mqvwxy
abend	fritz	jocks	lymph	abcdefhijklmnoprstyz	gquvwx
abend	fritz	plock	vughs	abcdefghiklnoprstuvz	jmqwxy
abend	frugs	phlox	twick	abcdefghiklnoprstuwx	jmqvyz
